scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
10;0.000511884689331;70;0.00601005554199;7258;0.000521183013916;48;0.00161480903625;2409;44.0724201202;38;10.3772630692;29;1.50362491608;1073;0.00395083427429;0.666213989258;2983;2883;100;100;2983;2883;100;100;32.6192;223.563;32.6192;223.563;41;127;1186;222;135;66;130;1219;0;185;66;130;1219;0;185;66901;27133;664;63291;86;64;22;86;64;22;259.99999999999801;49.999999999997158
11;0.000830888748169;25;0.00128793716431;1166;0.000576972961426;111;0.0105159282684;11186;2.9689040184;17;99.7957789898;106;0.505247116089;1802;0.00796604156494;1.51412582397;4013;3868;145;145;4013;3976;37;37;513.104;327.917;354.975;327.917;30;438;1198;254;487;441;443;1207;0;568;301;470;1234;0;568;75811;45354;61983;37032;408;2;406;408;169;239;319.99999999999318;120.00000000000455
13;0.000818967819214;56;0.0086510181427;8385;0.000521898269653;39;0.00394010543823;4663;40.8339138031;51;16.9181349277;33;1.10469484329;1683;0.00506401062012;1.30820679665;3087;3068;19;19;3087;3068;19;19;170.463;48.1302;7.30727;48.1302;238;350;961;34;431;368;370;946;0;436;243;350;966;0;436;67716;1104;29165;12432;112;2;110;112;107;5;299.99999999998295;69.999999999993179
14;0.000975131988525;41;0.00075101852417;441;0.00053596496582;38;0.0030689239502;2853;1.72619581223;39;10.4630379677;29;1.58016204834;1131;0.00314497947693;0.231860876083;4686;4525;161;161;4686;4629;57;57;432.514;29.5854;200.877;29.5854;121;544;1590;22;396;435;495;1573;0;389;266;521;1599;0;389;44497;14208;66068;61239;423;60;363;423;255;168;229.99999999998977;39.999999999992042
15;0.000933885574341;53;0.00631713867188;7004;0.000524044036865;33;0.0079870223999;8018;33.3235690594;40;25.4455449581;30;1.4629149437;1200;0.00329995155334;1.11656093597;4129;3877;252;252;4129;3909;220;220;252.023;260.772;201.065;260.772;87;428;1347;186;393;316;389;1338;0;423;276;397;1346;0;423;49850;37227;27799;57960;341;73;268;341;121;220;359.9999999999568;99.999999999965894
18;0.000833034515381;63;0.00997114181519;9152;0.000590085983276;78;0.00473809242249;5948;49.4479291439;48;39.0601029396;62;1.47866392136;2976;0.0155689716339;2.7812230587;3165;3165;0;0;3165;3165;0;0;12.4784;5.09592;12.4784;5.09592;281;330;1078;3;346;290;331;1078;0;347;290;331;1078;0;347;26042;8103;17535;5151;49;41;8;49;41;8;250;60.000000000002274
19;0.00113582611084;111;0.00975394248962;8301;0.000718116760254;90;0.00682401657104;7610;74.0965099335;51;55.8791699409;14;0.579066038132;714;0.00502490997314;0.771867990494;3675;3500;175;175;3675;4135;460;-460;361.771;329.291;250.782;824.373;2;371;994;238;707;392;395;982;0;746;269;376;959;879;586;6816;43070;42778;45034;369;3;366;369;107;262;399.99999999997726;120.00000000000455
20;0.00399088859558;79;0.0017409324646;1464;0.000797986984253;70;0.0137579441071;11385;9.55912089348;79;66.9586119652;70;4.76873898506;5530;0.0247662067413;4.57703995705;5323;5047;276;276;5323;5139;184;184;471.881;93.2633;398.707;93.2633;17;450;1889;146;499;369;361;1897;0;515;285;388;1924;0;515;13865;61662;5074;4279;433;8;425;433;103;330;170.00000000007276;29.999999999972715
22;0.00157904624939;35;0.0041868686676;3941;0.00123596191406;157;0.0164229869843;13274;13.18364501;23;167.336189985;144;1.13563489914;3312;0.0202360153198;5.31824612617;3585;3469;116;116;3585;3557;28;28;323.914;87.3503;138.03;87.3503;140;403;1142;80;415;383;388;1127;0;439;249;410;1149;0;439;65720;8182;23524;61220;263;5;258;263;161;102;280.0000000000864;89.999999999918145
24;0.0017249584198;69;0.00216698646545;2691;0.00158596038818;289;0.00984001159668;10496;16.2070279121;54;238.312298059;190;1.68079781532;10260;0.13095498085;10.4274349213;3279;3152;127;127;3279;3212;67;67;264.576;8.11981;137.901;8.11981;132;366;1023;47;454;321;336;993;52;442;229;351;1008;52;442;67164;31471;17349;28401;234;15;219;234;122;112;199.9999999998181;59.99999999994543
